Title,Company,Location,Date Posted,Link
Full Stack Developer - Scientific Applications,Hypercube Scientific,Sydney NSW,,https://www.seek.com.au/job/90364930?type=promoted&ref=search-standalone&origin=jobCard#sol=e67b1fa73500d73f63d08bedbda25e0f230af552
Python engineer - Generative AI (Mid-Level),Enterprise Ai,Sydney NSW,,https://www.seek.com.au/job/90323395?type=promoted&ref=search-standalone&origin=jobCard#sol=f48b5500688c54f69f09c411a0b6cbd26babad17
Python Data Engineer,Edge Stackers,Sydney NSW,Listed nineteen days ago,https://www.seek.com.au/job/90270821?type=standard&ref=search-standalone&origin=jobCard#sol=5db819946da921989977f37d9a56a33f14ea2adb
Software Developer,Tassal Operations Pty Ltd,Sydney NSW,Listed twenty three hours ago,https://www.seek.com.au/job/90642364?type=standard&ref=search-standalone&origin=jobCard#sol=499faab5af3741ae3d4ce0238c3bb5f885c68fa9
"Full Stack Software Engineer (React, Next.js, Python) - Agentic AI Startup",NinjaTech AI Australia Pty Ltd,Sydney NSW,Listed twenty five days ago,https://www.seek.com.au/job/90167744?type=standard&ref=search-standalone&origin=jobCard#sol=9840098b8c57623f6bfa01f030859efba3ad025b
Software Engineer,Ocius,Alexandria,Listed twenty three hours ago,https://www.seek.com.au/job/90642962?type=standard&ref=search-standalone&origin=jobCard#sol=4f811bb4d427552bce13401857941ea567a6767e
Software Engineer,Fyndr Group,Chatswood,Listed fourteen days ago,https://www.seek.com.au/job/90364113?type=standard&ref=search-standalone&origin=jobCard#sol=deae5143305837ce13da037e5ea123660169b3b5
"Senior Developer (Python, Django, React)",Peoplebank Australia NSW,Sydney NSW,Listed twenty six days ago,https://www.seek.com.au/job/90134502?type=standard&ref=search-standalone&origin=jobCard#sol=f0ebd6b7f9ee8eac8ea10cbb75356cfc255354e1
Data Engineer,FinXL IT Professional Services,Sydney NSW,Listed twenty two hours ago,https://www.seek.com.au/job/90643477?type=standard&ref=search-standalone&origin=jobCard#sol=0db2aae2ed3df31200241abe99a1083fb7c9ed22
AI Engineer (Data Science),DeVision Recruitment,Sydney NSW,Listed nineteen hours ago,https://www.seek.com.au/job/90651694?type=standard&ref=search-standalone&origin=jobCard#sol=fdd5121bd3a8c7c1ac88ce4123056bbb270e07c5
Data & Automation Engineer,Deloitte,Sydney NSW,Listed twelve days ago,https://www.seek.com.au/job/90424354?type=standard&ref=search-standalone&origin=jobCard#sol=03acfe50520882ceac2111362bef8a7f0b8eb23e
Software Engineer (Full Stack),One Playground,Surry Hills,Listed seven days ago,https://www.seek.com.au/job/90513028?type=standard&ref=search-standalone&origin=jobCard#sol=783ed21c4b25ccbb795f685642b1fe99bcb5033c
Software Engineer,Real Time,Sydney NSW,Listed twenty six days ago,https://www.seek.com.au/job/90124842?type=standard&ref=search-standalone&origin=jobCard#sol=b77efb7180b3d627bb821f39e58cd35b912ff7a5
Senior Software Engineer - Python,The Onset,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90324504?type=standard&ref=search-standalone&origin=jobCard#sol=4146c5113499a7533fd2ffb6e059d0a4da733df4
Software Developer,MVSI OnBoard,North Sydney,Listed forty minutes ago,https://www.seek.com.au/job/90672407?type=standard&ref=search-standalone&origin=jobCard#sol=5b6052db42a6c9875e260d2119ccb632f54098ef
Senior Developer x 2 - 3 month contracts,Genesis IT Recruitment,Sydney NSW,Listed twenty six days ago,https://www.seek.com.au/job/90116133?type=standard&ref=search-standalone&origin=jobCard#sol=257ea0b30c7dc4197ad5908059a9ea4f61d35436
Software Engineer,Microsoft,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90583336?type=standard&ref=search-standalone&origin=jobCard#sol=0c3fcbfef6c86e196315f4bed579ed796617e37f
Web Software Developer,Studiosity,St Leonards,Listed twenty four days ago,https://www.seek.com.au/job/90180029?type=standard&ref=search-standalone&origin=jobCard#sol=f2032e00d3415de37cb2f851b76c8ee4106b84cb
Software Engineer,Microsoft,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90583237?type=standard&ref=search-standalone&origin=jobCard#sol=79547ee487da30e47ccf1b6532454dbfad897f43
Software Engineer - Enterprise AI Enablement,TEKsystems,Sydney NSW,Listed twenty five days ago,https://www.seek.com.au/job/90153672?type=standard&ref=search-standalone&origin=jobCard#sol=1a05c15bd630a78ce729723a86c4ad016a18ec5e
AI Full Stack Engineer,The Onset,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90615752?type=standard&ref=search-standalone&origin=jobCard#sol=f98214ad1df86ce2fc435eb0954076e273c7858f
"X2 Senior Software Engineers- AI (Python,TypeScript, C++)",Novus,Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90262785?type=standard&ref=search-standalone&origin=jobCard#sol=61505fcd535ed2292fb61c1ad948354c2e7a98bb
Software Engineer,Microsoft,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90583088?type=standard&ref=search-standalone&origin=jobCard#sol=069fd9ccb6cc1384bc55bdbeee1f060a83c7309d
AI Engineer,PRA,Sydney NSW,Listed ten days ago,https://www.seek.com.au/job/90459257?type=standard&ref=search-standalone&origin=jobCard#sol=9028fe12b6c1e23954cec74b59e6bbc88f55ca15
Senior Developer,Indigeco Pty Ltd,Sydney NSW,Listed twenty six days ago,https://www.seek.com.au/job/90117248?type=standard&ref=search-standalone&origin=jobCard#sol=3312e8532485b75c469e380b5212ba4138f78194
Quantitative Software Engineer,Expertech,Sydney NSW,Listed twenty four days ago,https://www.seek.com.au/job/90179417?type=standard&ref=search-standalone&origin=jobCard#sol=87c20a76249fe89c934f67e4c6feaf00783a0de4
Software Engineer,Microsoft,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90611165?type=standard&ref=search-standalone&origin=jobCard#sol=3f8b81d28fa7db4463a2bf5136f65636c414346c
Software Engineer – 3D Processing Systems,The Onset,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90437509?type=standard&ref=search-standalone&origin=jobCard#sol=66cb97c5be5cc6e0060157aa411554d1d8b58fec
Backend Developer - 12 Month Contract,Stockland,Sydney NSW,Listed fifteen days ago,https://www.seek.com.au/job/90353143?type=standard&ref=search-standalone&origin=jobCard#sol=e3ea89e02c1bfb62779b946a89bfb4413ea300eb
Graduate Firmware Engineer,Finisar,Rosebery,Listed two hours ago,https://www.seek.com.au/job/90670941?type=standard&ref=search-standalone&origin=jobCard#sol=603ecdb68e6d4386c653fc1f60d3734c082f2a0e
Senior Databricks Engineer (Sydney Based),UpperGround by Hudson,Sydney NSW,Listed nineteen hours ago,https://www.seek.com.au/job/90651924?type=standard&ref=search-standalone&origin=jobCard#sol=e0a2f51cd338970e5f69411eb47da6c1770ff10b
Software Engineer - Test,PM-Partners Group,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90588015?type=standard&ref=search-standalone&origin=jobCard#sol=f2b94657fc035171aa5c47849122c8548a06dfe4
Data Infrastructure Engineer,Life Trading Pty Ltd,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90428900?type=standard&ref=search-standalone&origin=jobCard#sol=62c2efd3194f2ddd4fbca000ca98b772d0376490
Software Engineer,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90551605?type=standard&ref=search-standalone&origin=jobCard#sol=34fc69c0ca6c90ba54233aebae976102ffb6821d
Software Engineer,Microsoft,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90612100?type=standard&ref=search-standalone&origin=jobCard#sol=2ccf5bb7d3bdd14c53e968442634eb1b51a4f3c8
KONG API DEVELOPER,City People Solutions,Sydney NSW,Listed two days ago,https://www.seek.com.au/job/90630839?type=standard&ref=search-standalone&origin=jobCard#sol=f2bba80a40280f53ffe4972ede5365f5bc6a45ab
"Software Developer (Web, AI, RPA)",Suncorp,Sydney NSW,Listed eighteen days ago,https://www.seek.com.au/job/90300601?type=standard&ref=search-standalone&origin=jobCard#sol=c6ea7ffed50eb55c1541fe42fc2a7efa197a7c64
Lead Software & Data Engineering Consultant,Sestra People Pty Ltd,Sydney NSW,Listed twenty nine minutes ago,https://www.seek.com.au/job/90672650?type=standard&ref=search-standalone&origin=jobCard#sol=6d8241e3049ec36e45250eef3a1656156e7d0720
Software Engineer 2,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90553049?type=standard&ref=search-standalone&origin=jobCard#sol=01666db1fb4e8ea498d17998036ec63c0fd61f4c
"Data Analyst - Python, R & SQL - Office based North West Sydney",Limelight People,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90556145?type=standard&ref=search-standalone&origin=jobCard#sol=36471312263df05fdcc6047fc0008bb15b018a18
